ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Brand
\n&nbsp;",,,taxable,,1,46,,0,0,0.007,,,,1,,1500,2000,Needles & Pins,"Needle, needle threader, sewing needle, sewing thread",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Thumb-Needle-Threader.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Thumb-Needle-Threader1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Thumb-Needle-Threader2.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Thumb-Needle-Threader3.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Thumb-Needle-Threader4.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Thumb-Needle-Threader5.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Thumb-Needle-Threader6.jpg",,,,,,,,,0,,

21676,simple,SKU: BSA-0002-C,,Body Measurement Tape,1,0,visible,"This dual-sided tape measure features both inches (60"") and centimetres (150 cm) for versatile use. Made from high-quality fiberglass, it ensures accuracy, flexibility, and durability. With clear, easy-to-read markings, it's perfect for tailoring, sewing, body measurements, and craft projects. Compact and portable for convenience.","Length of Tape Measure】: There are scales on both sides, respectively, 150 cm and 60 inches, and the width of the soft tape measure is 1.3 cm/0.51 inch. They are suitable for measuring waist circumference, head circumference and clothes size.
\n
\n【Accurate and Simple】: Based on high-quality glass fibre materials, the tape measure maintains accuracy. The sewing tape has large and clear marks on the surface, making it easy to read. Small and flexible ruler can be put in your pocket, which is convenient for you to carry and store while working.
\n
\n【Double-sided Scale】: Inches on one side and centimetres on the other side. It is convenient when different scale is needed. There is no need to switch measurement tools back and forth. A flexible ruler meets both needs.
\n
\n【Multi-function】: It is suitable for tailor craftsmen who make precise measurements, such as sewing clothes, tailoring, and toy making. It is also suitable for weight loss and body waist measurement.
\n
\n【High Quality】: Soft and flexible tape measure is suitable for measuring irregular objects. The tape measure has metal sheets at both ends, which can be placed against the object for easy measurement and can also prevent fraying.
\n
\n&nbsp;",,,taxable,,1,48,,0,0,0.03,,,,1,,1500,2000,"Pattern Drafting Tools > Measurement Tapes, Pattern Drafting Tools","Body measurement tape, pattern rulers, tape rule",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Body-Measurement-Tape.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Body-Measurement-Tape1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Body-Measurement-Tape2.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Body-Measurement-Tape3.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Body-Measurement-Tape4.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Body-Measurement-Tape5.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Body-Measurement-Tape6.jpg",,,,,,,,,0,,

21677,simple,BSA-0003-C,,Sew Over Sewing Clip,1,0,visible,"Sew Over Sewing Clips keep fabric securely in place while sewing or quilting—no need to remove them as you stitch! Marked at 1/4"" and 1/2"" for precision, these clips ensure straight hems and aligned seams. Perfect for quilting, hemming, and crafting, they’re a must-have for any sewing enthusiast.","Use While Sewing or Quilting-No Need to Remove the Clip to Sew. You Can Keep Your Machine Going with Your Sew Over Sewing Clips in Place as Long as You Have 1/8 Inch Clearance Between the Clip and Machine.
\n<ul>
\n 	<li>Clearly Marked for Ease of Use-The Sew Over Sewing Clips are Clearly Marked at the 1/4 Inch and 1/2 Inch Measure.</li>
\n 	<li>Perfect for Quilting or Sewing-The Ideal Sewing Machine Accessories, Sew Over Sewing Clips Help You Keep Your Work in Place for Your Latest Sewing and Quilting Projects. Great Gifts for Quilters.</li>
\n 	<li>Holds Quilting Material in Place-Regardless of What You're Using to Create Your Next Quilt, These Mini Clips Will Hold Everything in Place While Your Work.</li>
\n 	<li>Keeps Hems in Line-Will Help You Keep Your Hems Straight and Crisp. Use Them for Hemming Clips to Hold Your Sewing Fabric in Place. You Can Also Use Sew Over Sewing Clips as Craft Clips.</li>
\n</ul>
\n&nbsp;",,,taxable,,1,10,,0,0,0.07,,,,1,,10500,11000,"Needles & Pins, Others","fabric clip, quilting, Quilting pin, sewing clip, sewing pin, wonder clip",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Sew-Over-Sewing-Clip.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Sew-Over-Sewing-Clip1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Sew-Over-Sewing-Clip2.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Sew-Over-Sewing-Clip3.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Sew-Over-Sewing-Clip5.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Sew-Over-Sewing-Clip6.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Sew-Over-Sewing-Clip7.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Sew-Over-Sewing-Clip8.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Sew-Over-Sewing-Clip9.jpg",,,,,,,,,0,,

21678,simple,BSA-0004-C,,Industrial Open Toe Free Motion Embroidery Quilting Presser Foot,1,0,visible,"The Open Toe Free Motion Spring Foot provides clear visibility for free-motion quilting and embroidery. Its open front allows for easy stippling and design tracing, while the spring action prevents fabric lifting, reducing thread breakage. Ideal for thick materials like cotton and silk, it ensures smooth stitching and fits most industrial straight-stitch sewing machines.","The Open Toe Free Motion Spring Foot gives clear visibility when doing free motion quilting or embroidery.
\n
\nBecause of the open front, you can easily do stippling or follow a design in the fabric.
\n
\nThe spring action keeps the fabric from lifting with the needle as the stitch is being formed which helps eliminate thread breakage with specialty or heavier threads.
\n
\nBe sure to use the appropriate needle for the thread you are using.
\n
\nThe presser foot helps easily move up and down with the needle, especially play well on thick materials, liked hollow cotton, silk and so on.
\n
\nThis spring-loaded foot helps avoid skipped stitches as the needle moves up and down with the foot.
\n
\nFits for most industrial straight stich sewing machine.",,,taxable,,1,20,,0,0,0.03,,,,1,,14000,14500,"Sewing Machine Foots > Industrial Sewing Machine Foots & Attachments, Sewing Machine Foots","embroidery, embroidery foot, quilting, Quilts, sewing machine foot",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Industrial-Open-Toe-Free-Motion-Embroidery-Quilting-Presser-Foot.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Industrial-Open-Toe-Free-Motion-Embroidery-Quilting-Presser-Foot1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Industrial-Open-Toe-Free-Motion-Embroidery-Quilting-Presser-Foot2.jpg",,,,,,,,,0,,

21679,simple,BSA-0005-C,,Industrial Free Motion Embroidery Quilting Presser Foot,1,0,visible,"­The Free Motion Spring Foot enhances visibility and control for quilting and embroidery, allowing precise stippling, meandering, and thread painting. Its spring action prevents fabric lifting and thread breakage, making it ideal for specialty threads. Made from durable steel, it offers long-lasting performance and fits most industrial straight-stitch sewing machines.","<ul>
\n 	<li>Enhanced Visibility &amp; Control: The Free Motion Spring Foot offers exceptional visibility and control during free motion quilting or embroidery. With its open front design, you can easily see your work and follow intricate designs in the fabric. This makes it perfect for executing stippling, meandering, and thread painting techniques with precision and ease.</li>
\n 	<li>Prevents Fabric Lifting &amp; Thread Breakage: The spring action of the foot provides an added advantage by preventing the fabric from lifting with the needle as you stitch. This feature is particularly beneficial when working with specialty or heavier threads, as it helps eliminate thread breakage.</li>
\n 	<li>Versatile &amp; Customizable: With the Free Motion Spring Foot, you have the freedom to sew any pattern according to your imagination. It allows you to unleash your creativity and experiment with various stitching techniques. Whether you want to create intricate designs or add personal touches to your quilts or fabric projects, this foot provides the versatility you need to bring your ideas to life.</li>
\n 	<li>Premium Materials: Crafted with high-quality steel, this presser foot offers exceptional durability and long-lasting performance. The sturdy construction ensures it can withstand the rigors of frequent use, making it an ideal choice for all your sewing requirements.</li>
\n 	<li>Wide Compatibility: Suitable for most industrial straight stitch sewing machine.</li>
\n</ul>",,,taxable,,1,20,,0,0,0.03,,,,1,,12000,12500,"Sewing Machine Foots > Industrial Sewing Machine Foots & Attachments, Sewing Machine Foots","embroidery, embroidery foot, Quilting pin, Quilts, sewing machine foot",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Industrial-Free-Motion-Embroidery-Quilting-Presser-Foot.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Industrial-Free-Motion-Embroidery-Quilting-Presser-Foot1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Industrial-Free-Motion-Embroidery-Quilting-Presser-Foot2.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Industrial-Free-Motion-Embroidery-Quilting-Presser-Foot3.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Industrial-Free-Motion-Embroidery-Quilting-Presser-Foot4.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Industrial-Free-Motion-Embroidery-Quilting-Presser-Foot5.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Industrial-Free-Motion-Embroidery-Quilting-Presser-Foot6.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Industrial-Free-Motion-Embroidery-Quilting-Presser-Foot7.jpg",,,,,,,,,0,,

21680,simple,SKU: BSA-0006-C,,Domestic Free Motion Embroidery Quilting Presser Foot,1,0,visible,"The Free Motion Spring Foot enhances visibility and control for quilting and embroidery, allowing precise stippling, meandering, and thread painting. Its spring action prevents fabric lifting and thread breakage, making it ideal for specialty threads. Crafted from durable steel for long-lasting performance, it fits most low shank sewing machines, including Singer, Brother, Janome, Juki, Babylock, and more, as well as Blackhead manual machines.","Enhanced Visibility &amp; Control: The Free Motion Spring Foot offers exceptional visibility and control during free motion quilting or embroidery. With its open front design, you can easily see your work and follow intricate designs in the fabric. This makes it perfect for executing stippling, meandering, and thread painting techniques with precision and ease.
\n<ul>
\n 	<li>Prevents Fabric Lifting &amp; Thread Breakage: The spring action of the foot provides an added advantage by preventing the fabric from lifting with the needle as you stitch. This feature is particularly beneficial when working with specialty or heavier threads, as it helps eliminate thread breakage.</li>
\n 	<li>Versatile &amp; Customizable: With the Free Motion Spring Foot, you have the freedom to sew any pattern according to your imagination. It allows you to unleash your creativity and experiment with various stitching techniques. Whether you want to create intricate designs or add personal touches to your quilts or fabric projects, this foot provides the versatility you need to bring your ideas to life.</li>
\n 	<li>Premium Materials: Crafted with high-quality steel, this presser foot offers exceptional durability and long-lasting performance. The sturdy construction ensures it can withstand the rigors of frequent use, making it an ideal choice for all your sewing requirements.</li>
\n 	<li>Wide Compatibility: Suitable for most low shank sewing machines, including Singer, Brother, Janome, Juki, Babylock, Elna, Kenmore, White, Necchi, Simplicity, Euro-Pro, New Home, and more. Also, Blackhead Manual Machine.</li>
\n</ul>",,,taxable,,1,20,,0,0,0.03,,,,1,,7500,8000,"Sewing Machine Foots > Blackhead Manual Sewing Machine Foots & Attachments, Sewing Machine Foots, Sewing Machine Foots > Tabletop Sewing Machine Foots & Attachments","embroidery, embroidery foot, Quilting pin, Quilts, sewing machine foot",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Domestic-Free-Motion-Embroidery-Quilting-Presser-Foot-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Domestic-Free-Motion-Embroidery-Quilting-Presser-Foot1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Domestic-Free-Motion-Embroidery-Quilting-Presser-Foot2.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Domestic-Free-Motion-Embroidery-Quilting-Presser-Foot3.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Domestic-Free-Motion-Embroidery-Quilting-Presser-Foot4.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Domestic-Free-Motion-Embroidery-Quilting-Presser-Foot6.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Domestic-Free-Motion-Embroidery-Quilting-Presser-Foot7.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Domestic-Free-Motion-Embroidery-Quilting-Presser-Foot8.jpg",,,,,,,,,0,,

21681,simple,BSA-0007-C,,Domestic Open Toe Free Motion Embroidery Quilting Presser Foot,1,0,visible,"The Free Motion Spring Foot enhances visibility and control for quilting and embroidery with its open front and open toe design, allowing for precise stippling, meandering, and thread painting. Its spring action prevents fabric lifting and thread breakage, making it ideal for specialty threads. Crafted from high-quality steel for durability, it fits most low shank sewing machines, including Singer, Brother, Janome, Juki, Babylock, and more, as well as Blackhead manual machines.","Enhanced Visibility &amp; Control: The Free Motion Spring Foot offers exceptional visibility and control during free motion quilting or embroidery. With its open front design and open toe, you can easily see your work and follow intricate designs in the fabric. This makes it perfect for executing stippling, meandering, and thread painting techniques with precision and ease.
\n
\nPrevents Fabric Lifting &amp; Thread Breakage: The spring action of the foot provides an added advantage by preventing the fabric from lifting with the needle as you stitch. This feature is particularly beneficial when working with specialty or heavier threads, as it helps eliminate thread breakage.
\n
\nVersatile &amp; Customizable: With the Free Motion Spring Foot, you have the freedom to sew any pattern according to your imagination. It allows you to unleash your creativity and experiment with various stitching techniques. Whether you want to create intricate designs or add personal touches to your quilts or fabric projects, this foot provides the versatility you need to bring your ideas to life.
\n
\nPremium Materials: Crafted with high-quality steel, this presser foot offers exceptional durability and long-lasting performance. The sturdy construction ensures it can withstand the rigors of frequent use, making it an ideal choice for all your sewing requirements.
\n
\nWide Compatibility: Suitable for most low shank sewing machines, including Singer, Brother, Janome, Juki, Babylock, Elna, Kenmore, White, Necchi, Simplicity, Euro-Pro, New Home, and more. Also, Blackhead Manual Machine.
\n
\n&nbsp;",,,taxable,,1,20,,0,0,0.03,,,,1,,9500,10000,"Sewing Machine Foots > Blackhead Manual Sewing Machine Foots & Attachments, Sewing Machine Foots, Sewing Machine Foots > Tabletop Sewing Machine Foots & Attachments","embroidery, embroidery foot, Quilting pin, Quilts, sewing machine foot",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Domestic-Open-Toe-Free-Motion-Embroidery-Quilting-Presser-Foot.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Domestic-Open-Toe-Free-Motion-Embroidery-Quilting-Presser-Foot1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Domestic-Open-Toe-Free-Motion-Embroidery-Quilting-Presser-Foot2.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Domestic-Open-Toe-Free-Motion-Embroidery-Quilting-Presser-Foot3.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Domestic-Open-Toe-Free-Motion-Embroidery-Quilting-Presser-Foot4.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Domestic-Open-Toe-Free-Motion-Embroidery-Quilting-Presser-Foot5.jpg",,,,,,,,,0,,

21683,simple,BSA-0008-C,,Aari Embroidery Beading Needle (0.8mm),1,0,visible,"This versatile tool allows you to create intricate patterns, chains, and embellishments with ease. Designed with a comfortable contoured shape and brass needle grips, it is lightweight and easy to use. The 0.8mm needle and small hook help guide thread, sequins, and beads through fabric effortlessly. Perfect for both beginners and experienced crafters, it’s ideal for embroidery, beadwork, and creative DIY projects.","With this tool, you can easily create beautiful patterns and designs. You can also use this tool to create a variety of chains, etc.
\n
\nComfortable contoured shape and brass needle grips, lightweight and convenient to use and carry
\n
\nCan hang single strand embroidery, sequins and passing through 1.5mm
\n
\nThe small hook at the end helps you take the thread to the top of the fabric to create a loop and attach the sequins and beads
\n
\nSuitable for beginners and experienced users, you can easily DIY yourself with these tools
\n
\nThe needle size is 0.8mm
\n
\n&nbsp;",,,taxable,,1,10,,0,0,0.07,,,,1,,19000,19500,Embroidery Tools,"aari beading, beading, embellishment, embroidery, tambour beading, tambour embroidery, tambour hook",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Ari-Embroidery-Beading-Needle-0.8mm.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Ari-Embroidery-Beading-Needle-0.8mm1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Ari-Embroidery-Beading-Needle-0.8mm3.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Ari-Embroidery-Beading-Needle-0.8mm5.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Ari-Embroidery-Beading-Needle-0.8mm6.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Ari-Embroidery-Beading-Needle-0.8mm7.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Ari-Embroidery-Beading-Needle-0.8mm8.jpg",,,,,,,,,0,,

21684,simple,BSA-0009-C,,Aari Embroidery Beading Needle (0.6mm),1,0,visible,"This versatile tool allows you to create intricate patterns, chains, and embellishments with ease. Designed with a comfortable contoured shape and brass needle grips, it is lightweight and easy to use. The 0.8mm needle and small hook help guide thread, sequins, and beads through fabric effortlessly. Perfect for both beginners and experienced crafters, it’s ideal for embroidery, beadwork, and creative DIY projects.
\n
\n&nbsp;","With this tool, you can easily create beautiful patterns and designs. You can also use this tool to create a variety of chains, etc.
\n
\nComfortable contoured shape and brass needle grips, lightweight and convenient to use and carry
\n
\nCan hang single strand embroidery, sequins and passing through 1.5mm
\n
\nThe small hook at the end helps you take the thread to the top of the fabric to create a loop and attach the sequins and beads
\n
\nSuitable for beginners and experienced users, you can easily DIY yourself with these tools
\n
\nThe needle size is 0.6mm",,,taxable,,1,10,,0,0,0.07,,,,1,,23500,24500,Embroidery Tools,"aari beading, beading, embellishment, embroidery, tambour beading, tambour hook",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Ari-Embroidery-Beading-Needle-0.6mm5.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Ari-Embroidery-Beading-Needle-0.6mm-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Ari-Embroidery-Beading-Needle-0.6mm2.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Ari-Embroidery-Beading-Needle-0.6mm3.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Ari-Embroidery-Beading-Needle-0.6mm8.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Ari-Embroidery-Beading-Needle-0.6mm1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Ari-Embroidery-Beading-Needle-0.6mm6.jpg",,,,,,,,,0,,

21685,simple,BSA-00010-C,,54mm Industrial Direct Drive Sewing Machine Bobbin Winder,1,0,visible,"The industrial stainless steel bobbin winder ensures a professional sewing process by saving time and delivering perfectly aligned seams. Made from durable, wear-resistant stainless steel, it resists rust and damage for long-term use. Easy to install and operate, this 54mm automatic bobbin winder is compact, stable, and ideal for replacing damaged or broken winders.
\n
\n&nbsp;","Sewing bobbin winder as a part of sewing machine creates professional sewing process and saves time in the process of use.
\n
\nThe industrial stainless steel bobbin winder allows seams to be perfectly aligned for your convenience.
\n
\nAutomatic bobbin winder is made of stainless steel, wear resistant and durable, not easy to rust, not easy to damage, and can be used for a long time.
\n
\nReplace broken, damaged, cracked, unusable bobbin winder, easy to install, easy and fast to use, stable performance.
\n
\nIndustrial stainless steel bobbin winder is small and delicate, easy to carry and use.
\n
\n54mm size
\n
\n&nbsp;",,,taxable,,1,10,,0,0,0.2,,,,1,,23500,24500,Bobbins & Bobbin Cases,"bobbin, bobbin case, bobbin winder, realer, shuttle",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/54mm-Industrial-Direct-Drive-Sewing-Machine-Bobbin-Winder-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/54mm-Industrial-Direct-Drive-Sewing-Machine-Bobbin-Winder1-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/54mm-Industrial-Direct-Drive-Sewing-Machine-Bobbin-Winder2-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/54mm-Industrial-Direct-Drive-Sewing-Machine-Bobbin-Winder3-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/54mm-Industrial-Direct-Drive-Sewing-Machine-Bobbin-Winder4-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/54mm-Industrial-Direct-Drive-Sewing-Machine-Bobbin-Winder5.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/54mm-Industrial-Direct-Drive-Sewing-Machine-Bobbin-Winder6.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/54mm-Industrial-Direct-Drive-Sewing-Machine-Bobbin-Winder7.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/54mm-Industrial-Direct-Drive-Sewing-Machine-Bobbin-Winder8.jpg",,,,,,,,,0,,

21703,simple,BSA-00053-C,,Black Flat Snap Button,1,0,visible,"High-quality 15mm buttons made of rust-resistant iron with a smooth, electroplated finish. Durable and stylish, perfect for use with a grommet machine on clothes, bags, leather crafts, and more. Pack of 50.","Made of high-quality iron material, rust resistant, sturdy and durable advanced electroplating process, not easy to fade. Smooth and flat, feels comfortable, simple and fashion.
\n
\nUse the grommet machine to fix this 15mm buttons.
\n
\nWide applications for DIY crafts, leather or sewing on clothes such as jackets, overalls, backpacks, bag, wallet, hats, belts, gown, jackets, jeans and so on.
\n
\nA pack contains 50 pieces.",,,taxable,,1,18,,0,0,0.1,,,,1,,11500,12000,Grommet Tools & Pliers,"flat snap button, Grommet machine, grommet tools, rivet machine, snap button",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/black-flat-snap-button-10.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Black-Flat-Snap-Button-4.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Black-Flat-Snap-Button-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Black-Flat-Snap-Button-5.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Black-Flat-Snap-Button-3.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/Black-Flat-Snap-Button-2.jpg",,,,,,,,,0,,

21704,simple,BSA-00054-C,,Industrial Special Cording Rolling Foot,1,0,visible,"This Industrial Special Cording Rolling Foot is designed for sewing piping or cording smoothly on industrial sewing machines. With built-in rollers to prevent fabric slippage, it ensures even feeding, precise seam placement, and professional results—especially on tricky fabrics.","An Industrial Special Cording Rolling Foot, also known as a cording foot or piping foot, is used to sew cording or piping neatly and smoothly, especially on industrial sewing machines, and it is designed to prevent fabric slippage and feed difficult materials.
\n
\nRoller: The foot features a roller (or rollers) that helps to feed the fabric smoothly and prevent slippage, especially when sewing over seams or uneven surfaces.
\n
\nVersatility: Compatible with most industrial sewing machines.
\n
\nSmooth Sewing: The roller design ensures a smooth and even feed, leading to professional-looking results.
\n
\nFabric Handling: It's ideal for working with difficult fabrics that can be prone to puckering or slipping.
\n
\nPrecise Seam Placement: The foot helps to achieve precise seam placement, especially when sewing close to piping.",,,taxable,,1,20,,0,0,0.05,,,,1,,12500,13000,"Sewing Machine Foots > Industrial Sewing Machine Foots & Attachments, Sewing Machine Foots","cording attachment, cording foot, piping foot",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/photo_2025-04-08_12-31-13.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01l28onj1xgEFvb8XZj_2214986996472-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN0135YWAB26Avp8OwRkG_2218671987622-0-cib-1.jpg",,,,,,,,,0,,

21709,simple,BSA-00011-C,,52mm Industrial Direct Drive Sewing Machine Bobbin Winder,1,1,visible,"The industrial stainless steel bobbin winder ensures a professional sewing process by saving time and delivering perfectly aligned seams. Made from durable, wear-resistant stainless steel, it resists rust and damage for long-term use. Easy to install and operate, this 52mm automatic bobbin winder is compact, stable, and ideal for replacing damaged or broken winders.","Sewing bobbin winder as a part of sewing machine creates professional sewing process and saves time in the process of use.
\n
\nThe industrial stainless steel bobbin winder allows seams to be perfectly aligned for your convenience.
\n
\nAutomatic bobbin winder is made of stainless steel, wear resistant and durable, not easy to rust, not easy to damage, and can be used for a long time.
\n
\nReplace broken, damaged, cracked, unusable bobbin winder, easy to install, easy and fast to use, stable performance.
\n
\nIndustrial stainless steel bobbin winder is small and delicate, easy to carry and use.
\n
\n52mm size",,,taxable,,1,10,,0,0,0.2,,,,1,,22500,23500,Bobbins & Bobbin Cases,"bobbin, bobbin case, bobbin winder, realer, shuttle",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/52mm-Industrial-Direct-Drive-Sewing-Machine-Bobbin-Winder-2.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/52mm-Industrial-Direct-Drive-Sewing-Machine-Bobbin-Winder1-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/52mm-Industrial-Direct-Drive-Sewing-Machine-Bobbin-Winder3-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/52mm-Industrial-Direct-Drive-Sewing-Machine-Bobbin-Winder4-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/52mm-Industrial-Direct-Drive-Sewing-Machine-Bobbin-Winder5-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/52mm-Industrial-Direct-Drive-Sewing-Machine-Bobbin-Winder6-1.jpg",,,,,,,,,0,,
